ID,Name,Age,Gender,Sales,Profit,Date,Category,Discount
1,David,25,Female,100,30,2023-01-01,Grocery,20
2,Eve,27,Female,248,10,2023-01-01,Clothing,20
3,Charlie,35,Other,248,30,2023-01-01,Electronics,10
4,Eve,35,Unknown,248,10,,Clothing,5
5,Eve,27,Male,100,10,2023-02-15,Electronics,10
6,Bob,27,Unknown,300,30,2023-02-15,Furniture,13
7,Charlie,27,Unknown,100,10,,Grocery,5
8,Charlie,30,Other,300,20,,Electronics,20
10,Eve,35,Unknown,200,20,,Furniture,13
11,David,30,Male,100,40,,Electronics,10
13,Eve,25,Male,300,40,2023-02-15,Furniture,5
14,Bob,27,Other,300,10,2023-01-01,Electronics,5
16,Bob,30,Female,100,30,,Grocery,20
17,David,35,Female,400,25,,Furniture,20
18,Eve,27,Male,300,40,2023-01-01,Electronics,13
20,David,20,Other,400,25,2023-02-15,Grocery,5
22,Eve,25,Male,300,30,2023-01-01,Grocery,5
23,David,25,Other,100,40,,Electronics,13
26,Charlie,27,Male,300,25,,Clothing,5
27,Charlie,30,Female,248,40,,Furniture,20
29,David,27,Other,300,30,2023-01-01,Grocery,10
30,David,30,Female,200,25,,Furniture,13
31,Charlie,27,Other,200,40,,Electronics,15
32,David,35,Other,400,30,,Furniture,5
33,David,35,Male,200,30,,Clothing,20
34,Alice,35,Male,248,25,2023-01-01,Electronics,13
36,Eve,20,Male,200,25,2023-01-01,Electronics,13
37,Charlie,30,Male,200,10,,Electronics,15
38,Eve,30,Male,300,10,,Clothing,10
39,Alice,35,Female,400,30,2023-02-15,Grocery,15
40,Bob,20,Male,100,25,,Electronics,10
41,David,35,Other,400,10,2023-01-01,Grocery,10
42,Alice,20,Female,248,20,2023-02-15,Furniture,5
43,David,35,Other,300,10,2023-02-15,Clothing,15
45,Bob,25,Male,200,25,,Electronics,20
46,Alice,27,Other,200,10,,Grocery,15
47,Bob,35,Other,248,25,,Electronics,5
48,Eve,30,Other,300,25,2023-01-01,Clothing,20
50,David,25,Unknown,400,30,,Furniture,20
51,David,35,Unknown,300,25,,Furniture,5
52,David,27,Unknown,100,40,2023-02-15,Grocery,10
53,David,35,Female,100,30,,Furniture,10
54,Eve,25,Male,400,30,,Grocery,10
56,Alice,25,Male,248,10,,Electronics,10
57,David,20,Other,100,20,,Clothing,10
60,Bob,30,Unknown,200,40,2023-02-15,Furniture,20
61,Bob,25,Male,100,20,,Furniture,5
62,David,30,Other,248,20,,Clothing,5
63,Eve,20,Male,100,20,2023-02-15,Electronics,15
65,Bob,27,Female,100,10,2023-02-15,Furniture,13
67,Bob,27,Unknown,100,20,,Electronics,13
68,Bob,25,Other,400,20,2023-01-01,Grocery,10
69,David,30,Female,400,10,2023-02-15,Electronics,10
72,Eve,25,Female,400,40,2023-01-01,Clothing,13
74,Bob,35,Other,400,10,2023-02-15,Furniture,15
